Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0sTlGEld0h8kIPZaKDYUf4,Notion,Notion,The Rare Occasions,2021-12-02,195120,86,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Elektra (NEK),0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4
spotify:track:2qiYy5k1mDAOpegYqv00wG,Is This What It Feels Like to Feel Like This?,Is This What It Feels Like to Feel Like This?,The Wombats,2022-08-16,165666,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,indie,The Wombats,0.605,0.845,9,-4.317,1,0.0286,0.000382,1.34e-05,0.0908,0.669,130.045,4
spotify:track:2flxduIqEbsicdmPyj1WVW,Imagination,Imagination,Foster The People,2019-06-21,256266,71,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.744,0.642,2,-4.6,0,0.031,0.115,3.95e-05,0.279,0.63,94.988,4
spotify:track:1gH1h30wkQdd9zhY3j7a8T,THE SHADE,WHO CARES?,Rex Orange County,2022-03-11,181506,75,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,bedroom pop,Rex Orange County,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,4
spotify:track:1SAF9h8xdE1YV02Dbgrn2L,I'm So Bored,I'm So Bored,Sarah and the Sundays,2021-04-01,208013,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Sarah and the Sundays/Fourward Music,0.49,0.746,10,-5.458,1,0.042,0.00972,1.58e-05,0.0235,0.948,165.056,4
spotify:track:2e62x0Mhv46Zx1ph0W4B3d,Hold Me Down,What Could Be Better,The Happy Fits,2020-08-28,223813,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,The Happy Fits Records,0.499,0.948,2,-4.732,1,0.0652,0.0163,0.0,0.0933,0.832,156.047,4
spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,Dopamine,BØRNS,2015-10-16,218106,81,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,UMGRI Interscope,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
spotify:track:5Q1H7ASDiJpACNx5ziyhuN,Money,Portamento,The Drums,2011,233655,48,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,indie,UMC (Universal Music Catalogue),0.603,0.918,4,-6.652,0,0.0642,0.213,0.146,0.287,0.453,102.473,4
spotify:track:1KO4aiGkvF1eMTBrzL4vAd,I Don't Want to Talk,I Don't Want to Talk,Wallows,2021-09-30,223533,44,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,indie,Atlantic Records,0.461,0.908,7,-3.222,1,0.0768,0.0133,1.4e-06,0.309,0.636,162.042,4
spotify:track:0F7FA14euOIX8KcbEturGH,Old Town Road,7,Lil Nas X,2019-06-21,113000,75,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,4
spotify:track:1Fid2jjqsHViMX6xNH70hE,Atlantis,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,229613,82,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Sweet Jane Recordings,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,4
spotify:track:29VLdEqFvd0l4JFscCnrp7,Just My Type,Night & Day (Day Edition),The Vamps,2018-07-13,211360,61,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,EMI,0.61,0.87,2,-4.012,0,0.0693,0.00299,0.0,0.064,0.523,125.014,4
spotify:track:2fh3bZ8jZhMxOcfESE9nQY,Don't Threaten Me with a Good Time,Death of a Bachelor,Panic! At The Disco,2016-01-15,213093,72,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,emo,Decaydance/Fueled By Ramen,0.559,0.895,1,-4.476,0,0.0832,0.0154,0.0,0.175,0.59,183.825,4
spotify:track:3ouugfdFz6exFXUxu7wRvD,If You Can't Hang,Let's Cheers To This,Sleeping With Sirens,2011-05-10,250240,2,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"emo,post-hardcore,screamo",Rise Records,0.397,0.975,2,-3.532,0,0.365,0.00152,0.0,0.118,0.451,192.021,4
spotify:track:5gb9UJkh8TfrNMRYOJNbew,Gives You Hell,When The World Comes Down,The All-American Rejects,2008-12-16,213106,66,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"pop punk,emo",Interscope,0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008,4
spotify:track:4mygCMA74xSGIqRLdfSzAb,Move Along,Move Along,The All-American Rejects,2005-07-11,239013,30,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"pop punk,emo",Interscope,0.523,0.908,3,-4.45,1,0.0438,0.000135,0.0,0.266,0.632,109.888,4
spotify:track:2lCyQnftM6ptqC3vk7qeao,Don't Let The Light Go Out,Don’t Let The Light Go Out,Panic! At The Disco,2022-08-16,229517,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,emo,Fueled By Ramen,0.492,0.59,4,-4.032,0,0.0313,0.00109,0.0023,0.271,0.179,117.637,4
spotify:track:003vvx7Niy0yvhvHt4a68B,Mr. Brightside,Hot Fuss,The Killers,2004,222973,93,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,alternative rock,Island Records,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,4
spotify:track:3OM6qQmdFV6uy61GIqpRtf,AMAZING,WHO CARES?,Rex Orange County,2022-03-11,209200,70,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,bedroom pop,Rex Orange County,0.719,0.461,8,-8.191,1,0.0454,0.279,0.0,0.0875,0.548,123.915,4
spotify:track:0BxE4FqsDD1Ot4YuBXwAPp,505,Favourite Worst Nightmare,Arctic Monkeys,2007-04-22,253586,88,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"indie,garage rock",Domino Recording Co,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,4
